case_id,two_complete_same_scale_waves,parent_state,p0,p1,p2,p3,p4,label_source
TW-B489C19FF93279C6,yes,downtrend,36,64,70,88,93,first_pass_agreement
TW-B6A7349348671748,no,not_applicable,,,,,,first_pass_agreement
TW-B6C7AE31BA457A39,no,not_applicable,,,,,,first_pass_agreement
TW-B6CBF4AF0F984AB8,yes,range,17,28,34,49,58,first_pass_agreement
TW-B742EB43DB9AA0FD,no,not_applicable,,,,,,first_pass_agreement
TW-B8140CF1EC888DC6,no,not_applicable,,,,,,first_pass_agreement
TW-B9E3E18A3806150D,no,not_applicable,,,,,,first_pass_agreement
TW-BBDFEC1A61DF34F9,no,not_applicable,,,,,,first_pass_agreement
TW-BBF0DB3ECF43DAB3,no,not_applicable,,,,,,third_independent_adjudication
TW-BCB5644C62ADA818,no,not_applicable,,,,,,first_pass_agreement
TW-C087C133E355D84A,no,not_applicable,,,,,,first_pass_agreement
TW-C2B2A811059BC5A7,no,not_applicable,,,,,,first_pass_agreement
TW-C55F36DD36DF83F2,no,not_applicable,,,,,,first_pass_agreement
TW-C5EFA3069943C860,yes,downtrend,15,35,48,72,86,first_pass_agreement
TW-C69D7908AECA25A3,no,not_applicable,,,,,,first_pass_agreement
TW-C8FC4E3381F0978B,no,not_applicable,,,,,,first_pass_agreement
TW-C9C186B38C2FA1DE,no,not_applicable,,,,,,first_pass_agreement
TW-CC47F3F9E70F61F2,no,not_applicable,,,,,,first_pass_agreement
TW-CC66A4F4E6D794A8,yes,range,2,42,61,82,95,first_pass_agreement
TW-CCFAD5E3DFD091DD,no,not_applicable,,,,,,first_pass_agreement
TW-CEA42D9B8D6C6002,no,not_applicable,,,,,,first_pass_agreement
TW-CFE892558735A91B,no,not_applicable,,,,,,first_pass_agreement
TW-D02BCDCAFBC00030,no,not_applicable,,,,,,first_pass_agreement
TW-D51D7FBE2CB10870,no,not_applicable,,,,,,first_pass_agreement
TW-D57D615D8B5C59E5,no,not_applicable,,,,,,first_pass_agreement
TW-D75F4C77A1C02D69,no,not_applicable,,,,,,first_pass_agreement
TW-DA34F92E1C262F55,no,not_applicable,,,,,,first_pass_agreement
TW-DA6BD5C09F258F88,no,not_applicable,,,,,,first_pass_agreement
TW-DB2743C76633EC83,no,not_applicable,,,,,,first_pass_agreement
TW-DE611C6323612F74,no,not_applicable,,,,,,first_pass_agreement
TW-DFAC0B6716484809,no,not_applicable,,,,,,first_pass_agreement
TW-DFD26BF3535BEA28,no,not_applicable,,,,,,first_pass_agreement
TW-E0EFDB3471F04C31,yes,range,,,,,,first_pass_agreement
TW-E179061CBA07BAD6,no,not_applicable,,,,,,first_pass_agreement
TW-E1E6BB96C103C422,no,not_applicable,,,,,,first_pass_agreement
TW-E2B386650C7D7B65,no,not_applicable,,,,,,first_pass_agreement
TW-E2D286599F63C1DF,no,not_applicable,,,,,,first_pass_agreement
TW-E31E54D8EFE92A7D,no,not_applicable,,,,,,first_pass_agreement
TW-E8E5BD3E89E9D45F,no,not_applicable,,,,,,first_pass_agreement
TW-EB8AA880B5EE6706,no,not_applicable,,,,,,third_independent_adjudication
TW-EC716BDDD55F038B,no,not_applicable,,,,,,first_pass_agreement
TW-EDC674C105517EB7,no,not_applicable,,,,,,first_pass_agreement
TW-EE6A4FF9F90E7113,no,not_applicable,,,,,,first_pass_agreement
TW-F0816D2E93667602,no,not_applicable,,,,,,first_pass_agreement
TW-F22341EE1CCECB3B,no,not_applicable,,,,,,first_pass_agreement
TW-F27ED448D897BEB5,no,not_applicable,,,,,,third_independent_adjudication
TW-F2C7E617CB6AEB1F,no,not_applicable,,,,,,third_independent_adjudication
TW-F33AEC1495E63809,no,not_applicable,,,,,,third_independent_adjudication
TW-F3D81C0750E73780,no,not_applicable,,,,,,first_pass_agreement
TW-F3EC273F378E6EAC,no,not_applicable,,,,,,first_pass_agreement
TW-F3F11ACAA04A1AB5,yes,uptrend,46,65,72,82,90,first_pass_agreement
TW-F54BA6900B15D4B7,yes,range,,,,,,first_pass_agreement
TW-F6236C972DB43ED8,no,not_applicable,,,,,,first_pass_agreement
TW-F68B6A6AE5F7926A,no,not_applicable,,,,,,first_pass_agreement
TW-F6FDF7548F86C147,no,not_applicable,,,,,,first_pass_agreement
TW-F6FED16292CCBC74,yes,range,40,48,58,68,82,third_independent_adjudication
TW-F790DACEE5BCCE90,no,not_applicable,,,,,,first_pass_agreement
TW-F94B7F2D43525246,yes,uptrend,46,61,72,84,92,first_pass_agreement
TW-F95EA9B11C289901,no,not_applicable,,,,,,first_pass_agreement
TW-FA5372ED5121702B,no,not_applicable,,,,,,third_independent_adjudication
TW-FABF9E1A28D2445F,no,not_applicable,,,,,,first_pass_agreement
TW-FB457C93678500DA,no,not_applicable,,,,,,first_pass_agreement
TW-FB8ED4317A71BE50,no,not_applicable,,,,,,first_pass_agreement
TW-FC47E5005CBD8B9A,no,not_applicable,,,,,,first_pass_agreement
TW-FC7E71BB96D01F5D,no,not_applicable,,,,,,first_pass_agreement
TW-FDC75BB81743AC6D,no,not_applicable,,,,,,first_pass_agreement
TW-FDED2BB311E8AD2C,no,not_applicable,,,,,,first_pass_agreement
TW-FDFE553488731A81,no,not_applicable,,,,,,first_pass_agreement
TW-FEA075B0E9A56BCF,yes,uptrend,8,28,38,65,72,first_pass_agreement
TW-FF11B7EDAE5AC5E8,no,not_applicable,,,,,,first_pass_agreement
TW-FF68EF08F6E00C0D,no,not_applicable,,,,,,first_pass_agreement
TW-FF89B0BA4FC08C64,no,not_applicable,,,,,,first_pass_agreement
TW-FFD9CE6DA4BCF5C8,no,not_applicable,,,,,,first_pass_agreement
