case_id,annotator_id,two_complete_same_scale_waves,parent_state,p0,p1,p2,p3,p4,confidence,notes
TW-252A8561203EF17A,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-253EF47619523698,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-2890C6387CE7B814,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-2B9D2E9AB27084F3,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-2CB34C5F7B7C0ED8,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-2D0E0CB8CCD7208F,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-2FA35CF8F1C15E99,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-30FFD5B2666054AA,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-319BE4948E6264A5,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-328DCBE4A017C31E,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-339615DDDC926049,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-33CB7016FFE3ADBA,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-3600EE8C8A4B5E5A,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-384437B69D2D9E38,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-38A58691DBAEB0BD,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-38C3576123AB2840,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,large first drop then smaller chop
TW-390BE3782CC89D0F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-3996310EBF228564,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-39BBAF5DFA377C3D,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-3B47DE2540259424,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-3BC042E0B41EC183,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-3D7AA88827C19C1B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-3F8317B00ECCF984,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-3FEA40D0042FE046,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-41C434333FEA5A30,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-4410E91AA0C78258,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-44BDE93A8B76896C,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-458F16F995186477,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-48F0D6D388543ACB,LOCAL_MODEL_A,yes,downtrend,17,38,56,68,95,medium,two down-swings then recovery
TW-4C343C7D58879703,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-4C3AB282378B9CFA,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-4D39AA8AE7BAC11F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-4D86DE068E9BCF9E,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-4E5568DAB0FE9306,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-4EECF945BC96976C,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,single V not two oscillations
TW-4FB6DEAC8E96E9A5,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-52719E1EC95B8A38,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,one rise then one fall
TW-529FE81AD12765CA,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-53B01211F2E4BBE0,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-549916EC1FE50875,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-55C2FC1013C796C6,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-567BE0EC109D60C0,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-5688E5F3063B63B4,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-57164CC0253F6290,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-59E9492D1BF30D84,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,single reversal plus smaller pullback
TW-5BADE6B3991A2A33,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-5F6DAC89FD392C7C,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-5FFD0D83C8A1BBA3,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-60690671E0E9E8C5,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,one declining grind
TW-610F2598C45E26C9,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-6138E3531D5F816D,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-6176C151C432569F,LOCAL_MODEL_A,yes,downtrend,0,24,37,53,66,medium,two completed topping swings
TW-624701842677A4A2,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-62672A7F1CCAFCD8,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-67D1D5962DFC5506,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-684A91E7C90AA457,LOCAL_MODEL_A,yes,uptrend,8,28,46,68,74,high,clear two-wave uptrend
TW-6A5420FA172ED4A1,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-6B9E6887D826E7AC,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-6CCB2E6FFDD2C147,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-6CFB7BE50E5F6111,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,second bounce incomplete
TW-6DD7F8849FE93873,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-70E32A21532E800C,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-72563F56D23FFE82,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-725A62984FF951FF,LOCAL_MODEL_A,no,not_applicable,,,,,,high,single V
TW-727C07BDFFAB5044,LOCAL_MODEL_A,yes,uptrend,5,22,35,85,95,medium,two up-swings second peaked
TW-76A0FBAC027F0412,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-79C0A37AB99548C5,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-7A4337A497D8874F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-7B985F06E38A62B7,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,scale mismatch
TW-7FE379ACB19E4A43,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-809ADD067C637866,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-818D519BE1F122DA,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-820BF5B1C09936A2,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-82F0258B9EBDA82C,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-833AFD0AB0380C9E,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-843DE927129EAF19,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-849E7273E100BBE2,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-84AA203893AB02BD,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-8562495BE1A36833,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-86CA9FB4EB4BADF3,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-87D51CE5BCF419D4,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-880F209A31A0671A,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,scale mismatch
TW-88F09F72EC3D984F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-891E0AE9F571D68A,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-894D2EBBEB68A1C2,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-8BC360BBB629307F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,single V
TW-8C572474DDEB68AE,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-8CEF1EC8886E98A3,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-8D683741F595C5E0,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-8F3733BDF7E447FC,LOCAL_MODEL_A,no,not_applicable,,,,,,high,one rise then one fall
TW-90F78A55B9397CBA,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-92DC6C4A0C66484A,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-9386F314436CE5CD,LOCAL_MODEL_A,yes,range,35,52,65,80,87,medium,right-side two range swings
TW-93CE8136D9534A35,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-950E085E3FD2AADA,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-952613FD46FC52F4,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-95A8FB3A59B956EC,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-97C7C97EA05B2AB7,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-983B147AFF000EC3,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-9B302C06D492533A,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-9BCE04BA1D95C931,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-9C6D79BB407B6788,LOCAL_MODEL_A,yes,uptrend,15,36,40,68,76,medium,two completed up-swings
TW-9CE9F78B21114F88,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-9E3F9C602B342476,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-9F9D3AA9AB0970BC,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-A17A182A94093BA3,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-A1B58F85FB009F22,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-A28BD2139EEAE910,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-A40EFEFACD955CF7,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-A4F0ED54EDAEEAE1,LOCAL_MODEL_A,no,not_applicable,,,,,,high,single right-side V
TW-A50F2DB7EEC2737A,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-A581E86566087DA0,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-A5969121FE9F6B91,LOCAL_MODEL_A,no,not_applicable,,,,,,high,single V
TW-A5E959AC1B6E4251,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-A65600506C098852,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-A7359EF0F4B99EFC,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-A7BF46930AE83D87,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-AAF426D4916EE393,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,scale mismatch
TW-ABB50CE30039F7C7,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-ACB649172A6B1846,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-AD7795886DD7DE18,LOCAL_MODEL_A,yes,range,32,40,54,74,85,medium,two comparable range peaks
TW-AEC3D5CE153F246F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,single V
TW-AF1850B220767FC4,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-B0566C306C953381,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,single reversal
TW-B1B9F86A0EA6A96B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-B2B50D2070BBD51F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-B2F4E810AEE61C5B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-B34F8673C1062187,LOCAL_MODEL_A,yes,range,0,19,32,68,76,high,double-top two-wave parent
TW-B35D69A3F5C5B2BB,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-B489C19FF93279C6,LOCAL_MODEL_A,yes,downtrend,36,64,70,88,93,high,two completed down-swings
TW-B6A7349348671748,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-B6C7AE31BA457A39,LOCAL_MODEL_A,no,not_applicable,,,,,,high,single V
TW-B6CBF4AF0F984AB8,LOCAL_MODEL_A,yes,range,17,28,34,49,58,high,two equal-scale range waves
TW-B742EB43DB9AA0FD,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,one mountain scale mismatch
TW-B8140CF1EC888DC6,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-B9E3E18A3806150D,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-BBDFEC1A61DF34F9,LOCAL_MODEL_A,no,not_applicable,,,,,,high,one rise then one fall
TW-BBF0DB3ECF43DAB3,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-BCB5644C62ADA818,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-C087C133E355D84A,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,too messy
TW-C2B2A811059BC5A7,LOCAL_MODEL_A,no,not_applicable,,,,,,high,single V
TW-C55F36DD36DF83F2,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-C5EFA3069943C860,LOCAL_MODEL_A,yes,downtrend,15,35,48,72,86,medium,two down-steps
TW-C69D7908AECA25A3,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-C8FC4E3381F0978B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-C9C186B38C2FA1DE,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-CC47F3F9E70F61F2,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-CC66A4F4E6D794A8,LOCAL_MODEL_A,yes,range,2,42,61,82,95,medium,two range troughs
TW-CCFAD5E3DFD091DD,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-CEA42D9B8D6C6002,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-CFE892558735A91B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-D02BCDCAFBC00030,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-D51D7FBE2CB10870,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-D57D615D8B5C59E5,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-D75F4C77A1C02D69,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-DA34F92E1C262F55,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-DA6BD5C09F258F88,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-DB2743C76633EC83,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-DE611C6323612F74,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-DFAC0B6716484809,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-DFD26BF3535BEA28,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-E0EFDB3471F04C31,LOCAL_MODEL_A,yes,range,,,,,,medium,noisy but two same-scale swings
TW-E179061CBA07BAD6,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-E1E6BB96C103C422,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-E2B386650C7D7B65,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-E2D286599F63C1DF,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-E31E54D8EFE92A7D,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-E8E5BD3E89E9D45F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-EB8AA880B5EE6706,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-EC716BDDD55F038B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-EDC674C105517EB7,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-EE6A4FF9F90E7113,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-F0816D2E93667602,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-F22341EE1CCECB3B,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-F27ED448D897BEB5,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-F2C7E617CB6AEB1F,LOCAL_MODEL_A,uncertain,uncertain,,,,,,medium,messy double-top scale ambiguous
TW-F33AEC1495E63809,LOCAL_MODEL_A,uncertain,uncertain,,,,,,medium,range vs noise hard to separate
TW-F3D81C0750E73780,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-F3EC273F378E6EAC,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-F3F11ACAA04A1AB5,LOCAL_MODEL_A,yes,uptrend,46,65,72,82,90,medium,right-side two up-swings
TW-F54BA6900B15D4B7,LOCAL_MODEL_A,yes,range,58,70,75,86,95,medium,two bottom swings after crash
TW-F6236C972DB43ED8,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-F68B6A6AE5F7926A,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-F6FDF7548F86C147,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,second wave not clearly complete
TW-F6FED16292CCBC74,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-F790DACEE5BCCE90,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-F94B7F2D43525246,LOCAL_MODEL_A,yes,uptrend,46,61,72,84,92,high,right-side two completed up-swings
TW-F95EA9B11C289901,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FA5372ED5121702B,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-FABF9E1A28D2445F,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FB457C93678500DA,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FB8ED4317A71BE50,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FC47E5005CBD8B9A,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-FC7E71BB96D01F5D,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-FDC75BB81743AC6D,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FDED2BB311E8AD2C,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FDFE553488731A81,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FEA075B0E9A56BCF,LOCAL_MODEL_A,yes,uptrend,8,28,38,65,72,medium,two completed up-swings
TW-FF11B7EDAE5AC5E8,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FF68EF08F6E00C0D,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
TW-FF89B0BA4FC08C64,LOCAL_MODEL_A,no,not_applicable,,,,,,medium,
TW-FFD9CE6DA4BCF5C8,LOCAL_MODEL_A,no,not_applicable,,,,,,high,
